Wavelength (nm),Sum(calc),H I (2.9e-5),He I (1.0e-4),He II (2.5e-10),N I (9.5e-5),N II (5.3e-6),N III (2.7e-14),O I (9.7e-5),O II (3.3e-6),O III (2.3e-16),Si I (1.1e-6),Si II (8.9e-6),Si III (7.3e-9),Ar I (9.5e-1),Ar II (4.7e-2),Ar III (4.7e-9),Mn I (6.5e-7),Mn II (1.9e-5),Fe I (4.4e-7),Fe II (9.5e-6),Fe III (2.2e-8),Cu I (8.6e-7),Cu II (9.1e-6),La I (6.8e-8),La II (8.3e-6),W I (4.7e-7),W II (9.5e-6),W III (2.7e-8)
732.1,9.290e+3,6.748e-14,1.878e-5,1.251e-36,4.517e-3,3.521e-22,4.948e-29,5.979e-5,6.744e-11,8.441e-26,1.017e-15,3.506e-17,7.471e-18,9.287e+3,1.398e-15,,,8.415e-2,9.684e-16,1.541e-16,3.293e-8,,6.918e-7,3.297e+0,,,,
732.2,9.125e+3,6.744e-14,1.557e-5,1.251e-36,5.545e-3,3.560e-22,7.186e-29,4.367e-5,5.567e-11,7.913e-26,1.016e-15,3.535e-17,1.099e-17,9.121e+3,1.395e-15,,,6.875e-2,9.809e-16,1.531e-16,3.258e-8,,9.829e-7,3.666e+0,,,,
732.4,8.813e+3,6.737e-14,1.056e-5,1.250e-36,8.250e-3,3.638e-22,1.495e-28,2.297e-5,3.741e-11,6.871e-26,1.013e-15,3.592e-17,2.348e-17,8.808e+3,1.391e-15,,,4.529e-2,1.006e-15,1.510e-16,3.145e-8,,1.958e-6,4.475e+0,,,,
732.5,8.678e+3,6.733e-14,8.640e-6,1.250e-36,9.998e-3,3.676e-22,2.143e-28,1.654e-5,3.045e-11,6.368e-26,1.012e-15,3.620e-17,3.408e-17,8.673e+3,1.389e-15,,,3.653e-2,1.018e-15,1.499e-16,3.069e-8,,2.744e-6,4.911e+0,,,,
732.6,8.565e+3,6.729e-14,7.034e-6,1.250e-36,1.207e-2,3.715e-22,3.057e-28,1.186e-5,2.468e-11,5.881e-26,1.010e-15,3.649e-17,4.926e-17,8.559e+3,1.387e-15,,,2.933e-2,1.031e-15,1.488e-16,2.981e-8,,3.830e-6,5.367e+0,,,,
732.7,8.480e+3,6.725e-14,5.700e-6,1.250e-36,1.450e-2,3.754e-22,4.341e-28,8.462e-6,1.990e-11,5.415e-26,1.009e-15,3.677e-17,7.087e-17,8.474e+3,1.385e-15,,,2.345e-2,1.043e-15,1.478e-16,2.883e-8,,5.322e-6,5.839e+0,,,,
732.9,8.422e+3,6.717e-14,3.692e-6,1.249e-36,2.068e-2,3.831e-22,8.639e-28,4.248e-6,1.277e-11,4.559e-26,1.007e-15,3.734e-17,1.448e-16,8.415e+3,1.380e-15,,,1.479e-2,1.068e-15,1.457e-16,2.659e-8,,1.014e-5,6.821e+0,,,,
733.0,8.463e+3,6.714e-14,2.951e-6,1.249e-36,2.453e-2,3.870e-22,1.211e-27,2.989e-6,1.016e-11,4.173e-26,1.005e-15,3.763e-17,2.055e-16,8.456e+3,1.378e-15,,,1.167e-2,1.081e-15,1.446e-16,2.536e-8,,1.389e-5,7.323e+0,,,,
733.1,8.561e+3,6.710e-14,2.347e-6,1.248e-36,2.899e-2,3.909e-22,1.689e-27,2.094e-6,8.043e-12,3.819e-26,1.004e-15,3.791e-17,2.904e-16,8.553e+3,1.376e-15,,,9.172e-3,1.093e-15,1.436e-16,2.408e-8,,1.896e-5,7.828e+0,,,,
733.2,8.723e+3,6.706e-14,1.859e-6,1.248e-36,3.412e-2,3.947e-22,2.345e-27,1.460e-6,6.339e-12,3.497e-26,1.003e-15,3.820e-17,4.087e-16,8.714e+3,1.374e-15,,,7.175e-3,1.106e-15,1.425e-16,2.276e-8,,2.576e-5,8.331e+0,,,,
